Attaching 96 probes...
Begin!
20008 kube-apiserver k8s.io/kubernetes/vendor/k8s.io/apiextensions-apiserver/pkg/registry/customresourcedefinition.NewREST
20008 kube-apiserver k8s.io/kubernetes/vendor/k8s.io/apiextensions-apiserver/pkg/registry/customresourcedefinition.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/rest.LegacyRESTStorageProvider.NewLegacyRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/podtemplate/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/event/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/limitrange/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/secret/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/persistentvolume/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/configmap/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/endpoint/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/serviceaccount/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/autoscaling/horizontalpodautoscaler/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/networking/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/networking/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/networking/networkpolicy/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/networking/ingressclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/networking/ingressclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/node/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/node/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/node/runtimeclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/node/runtimeclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/apps/daemonset/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/apps/replicaset/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/apps/replicaset/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/admissionregistration/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/admissionregistration/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/admissionregistration/validatingwebhookconfiguration/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/resourcequota/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/namespace/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/replicationcontroller/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/replicationcontroller/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/batch/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/batch/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/batch/job/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/certificates/certificates/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/coordination/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/coordination/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/coordination/lease/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/coordination/lease/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/rbac/clusterrolebinding/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/storageclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/flowcontrol/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/flowcontrol/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/flowcontrol/flowschema/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/flowcontrol/prioritylevelconfiguration/storage.NewREST
